Rank,Name,Park,Location,Supplier,Year,Awarded
24,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2023
25,ArieForce One,Fun Spot America Atlanta,"Fayetteville, Georgia",Rocky Mountain Const.,2023,2023
26,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2023
27,Orion,Kings Island,"Mason, Ohio",B&M,2020,2023
28,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015,2023
29,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2023
30,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2023
31,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021,2023
32,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019,2023
33,Fønix,Fårup Sommerland,"Blokhus, Denmark",Vekoma,2022,2023
34,Montu,Busch Gardens Tampa Bay,"Tampa, Florida",B&M,1996,2023
35,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2023
36,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2023
37,Big Bear Mountain,Dollywood,"Pigeon Forge, Tennessee",Vekoma,2023,2023
38,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2023
39,Blue Fire Megacoaster,EuropaPark,"Rust, Germany",Mack,2009,2023
40,Wildcat’s Revenge,Hersheypark,"Hershey, Pennsylvania",Rocky Mountain Const.,2023,2023
41,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2023
41,Riddler Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2023
43,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2023
43,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018,2023
45,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2023
46,F.L.Y.,Phantasialand,"Brühl, Germany",Vekoma,2020,2023
47,Cheetah Hunt,Busch Gardens Tampa Bay,"Tampa, Florida",Intamin,2011,2023
48,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2023
49,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2023
50,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2023
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2021
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2021
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2021
4,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000,2021
5,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2021
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2021
7,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain,2016,2021
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2021
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2021
10,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2021
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999,2021
12,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2021
13,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2021
14,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2021
15,Phantom’s Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001,2021
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015,2021
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2021
18,Jurassic World VelociCoaster,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2021,2021
19,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2021
20,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2021
21,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2021
22,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996,2021
23,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2021
23,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2021
25,Mind Bender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2021
26,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2021
26,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2002,2021
28,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2021
28,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2021
30,Blue Fire Megacoaster,EuropaPark,"Rust, Germany",Mack,2009,2021
31,Orion,Kings Island,"Mason, Ohio",B&M,2020,2021
32,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2021
33,Hagrid’s Magical Creatures Motorbike Adventure,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2019,2021
33,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2021
35,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2021
36,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2021
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2021
38,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2021
39,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain,2018,2021
40,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2021
41,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Florida",Intamin,2011,2021
42,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2021
42,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain,2015,2021
44,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2021
45,Steel Force,Dorney Park,"Allentown, Pennsylvania",Morgan,1997,2021
46,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2021
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2021
48,Cannibal,Lagoon,"Farmington, Utah",ART Engineering,2015,2021
48,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,2021
50,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2021
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2019
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2019
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2019
4,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2019
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2019
6,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,2019
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio,Texas",Rocky Mountain,2013,2019
8,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2019
9,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2019
10,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2019
11,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2019
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Arrow/Morgan,2001,2019
13,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2019
14,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2019
15,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2019
16,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2019
17,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2019
18,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2019
19,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2019
20,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2019
21,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2019
22,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,2019
23,Blue Fire,EuropaPark,"Rust, Germany",Mack,2009,2019
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,2019
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2019
26,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2019
27,Skyrush,"Hershey, Pennsylvania","Hershey, Pa.",Intamin,2012,2019
28,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2019
29,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2019
30,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2019
30,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2019
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2019
33,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2019
34,Yukon Striker,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2019,2019
35,TRON Lightcycle Power Run,Shaghai Disneyland,"Shanghai, China.",Vekoma,2016,2019
36,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,2019
37,Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2019,2019
38,Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,2019
39,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,2019
40,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,2019
41,Cannibal,Lagoon,"Salt Lake City, Utah",Inhouse/ART Eng.,2015,2019
42,Steel Curtain,Kennywood,"West Mifflin, Pa.",S&S,2019,2019
43,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2019
44,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,2019
45,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,2019
46,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,2019
47,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2019
47,Superman Ride of Steel,Six Flags America,"Largo, Maryland",Intamin,2000,2019
49,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",B&M,2000,2019
49,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B&M,2006,2019
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2018
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2018
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2018
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2018
5,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2018
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2018
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2018
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2018
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2018
10,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2018
11,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2018
12,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2018
13,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001,2018
14,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2018
15,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2018
16,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2018
17,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2018
18,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,2018
19,Blue Fire,EuropaPark,"Rust, Germany",Mack,2009,2018
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2018
21,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2018
22,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2018
23,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2018
24,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,2018
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2018
26,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2018
27,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2018
28,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2018
29,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2018
30,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,2018
31,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2001,2018
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2018
33,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,2018
34,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2018
35,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,2018
36,Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,2018
37,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,2018
38,Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2018,2018
39,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2018
39,Superman Ride of Steel,Six Flags America,"Upper Marlsboro, Md.",Intamin,2000,2018
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,2018
42,Lisebergbanan,Liseberg,"Gothemburg, Sweden",Schwarzkopf,1987,2018
43,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,2018
44,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,2018
45,Shambhala,PortAventura,"Salou, Spain",B&M,2012,2018
46,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,2018
47,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",Rocky Mountain,2016,2018
48,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,2018
49,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,2018
50,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,2018
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2017
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2017
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2017
4,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,2017
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2017
6,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2017
7,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2017
8,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2017
9,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,2017
10,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2017
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2017
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,2017
13,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2017
14,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2017
14,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,2017
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,2017
17,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2017
18,Blue Fire,EuropaPark,"Rust, Germany",Mack,2006,2017
19,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2017
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2017
21,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2017
22,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2017
23,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2017
24,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,2017
25,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,2017
26,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2017
27,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2017
28,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2017
29,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,2017
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2017
31,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2017
32,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,2017
33,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,2017
34,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,2017
35,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2017
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2017
37,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,2017
38,Quimera,La Feria,"Mexico City, Mexico",Schwarzkopf,2007,2017
39,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,2017
40,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,2017
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,2017
41,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,2017
41,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,2017
44,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,2017
45,EuroMir,EuropaPark,"Rust, Germany",Mack,1997,2017
46,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2017
46,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,2017
48,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,2017
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,2017
50,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,2017
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2016
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2016
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2016
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2016
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2016
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2016
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2016
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2016
9,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2016
10,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,2016
11,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2016
12,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2016
13,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2016
14,Blue Fire,EuropaPark,"Rust, Germany",Mack,2006,2016
15,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2016
16,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,2016
17,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2016
18,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,2016
19,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2016
20,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2016
21,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,2016
22,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2016
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,2016
