Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, California",Prior & Church/Looff,1924,2022,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,2640,70.0,55.0,0.0,,65.0,1:52,,,,,,,,,,
31,Twister,Knoebels Amusement Resort,"Elysburg, Pennsylvania",Fetterman,1999,2022,Wood,Sit Down,Operating,7/24/1999,Elysburg,Pennsylvania,United States,,3900,101.6,51.5,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",89.6,2:10,,,,,,,,,,
33,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2022,Wood,Sit Down,Operating,1927,West Mifflin,Pennsylvania,United States,,4500,72.5,40.0,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",50.0,1:32,,,,,,,,,,
33,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2022,Wood,Sit Down,Removed,1910,West Mifflin,Pennsylvania,United States,,0,,,0.0,,,,,,,,,,,,,
39,T Express,Everland,"Yonjinsi, South Korea",Intamin,2008,2022,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,5383,183.8,64.6,0.0,['Cable Lift Hill'],150.9,,,77.0,,,,,,,,
41,Blue Streak,Cedar Point,"Sandusky, Ohio",Hoover,1964,2022,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.",2558,78.0,40.0,0.0,['Chain Lift Hill'],72.0,1:45,,45.0,,,,,,,,
43,Boss,Six Flags St. Louis,"Eureka, Missouri",Custom Coasters Int.,2000,2022,Wood,Sit Down,Operating,4/29/2000,Eureka,Missouri,United States,"Custom Coasters International, Inc.",4631,122.0,66.3,0.0,['Chain Lift Hill'],150.0,,,52.0,,,,,,,,
44,Cornball Express,Indiana Beach,"Monticello, Indiana",Custom Coasters Int.,1999,2022,Wood,Sit Down,Operating,5/18/2001,Monticello,Indiana,United States,"Custom Coasters International, Inc.",2100,55.0,45.0,0.0,,,,,,,,,,,,,
45,InvadR,Busch Gardens Williamsburg,"Williamsburg, Virginia",Great Coasters Int.,2017,2022,Wood,Sit Down,Operating,4/7/2017,Williamsburg,Virginia,United States,Great Coasters International,2118,,48.0,0.0,,74.0,,,,,,,,,,,
49,American Thunder,Six Flags St. Louis,"Eureka, Missouri",Great Coasters Int.,2008,2022,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,2713,82.0,48.0,0.0,['Chain Lift Hill'],80.0,,,,,,,,,,,
