Name,Park,Type,Design,Status,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Rank
€uro-Coaster,Wiener Prater,Steel,Suspended,Removed,Vienna,Vienna,Austria,Reverchon,1509,49.2,37.3,0.0,['Chain Lift Hill'],,No
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,Guangzhou,Guangdong,China,Intamin Amusement Rides,2788,98.4,49.7,10.0,"['Chain Lift Hill', 'Loop', 'Cobra Roll', 'Double Corkscrew', 'Quad Heartline Roll', 'Heartline Roll']",,No
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,Removed,Madrid,Community of Madrid,Spain,Schwarzkopf,1509,44.3,37.3,0.0,,,No
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,Madrid,Community of Madrid,Spain,Maurer Rides GmbH,1476,151.6,65.2,2.0,"['Vertical Chain Lift Hill', 'Sky Loop']",,No
Abyss,Adventure World,Steel,Sit Down,Operating,Bibra Lake,Western Australia,Australia,Gerstlauer Amusement Rides GmbH,2066,98.4,52.8,3.0,"['In-Line Twist', 'Vertical Chain Lift Hill', 'Immelmann', 'Over-Banked Curve', 'Dive Loop']",100.0,No
Abyssus,Energylandia,Steel,Sit Down,Operating,Zator,Małopolskie,Poland,Vekoma,4317,126.3,62.1,4.0,"['LSM Launch', 'LSM Boost', 'Loop', 'Batwing', 'Corkscrew']",,No
Accelerator,Drayton Manor,Steel,Sit Down,Operating,Staffordshire,England,United Kingdom,Vekoma,643,65.6,37.3,0.0,['Booster Wheel Lift Hill'],,No
Achtbaan,Amusementspark Tivoli,Steel,Sit Down,Operating,Berg en Dal,Gelderland,Netherlands,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Achtbaan,Mondo Verde,Steel,Sit Down,Operating,Landgraaf,Limburg,Netherlands,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Achterbahn,Skyline Park,Steel,Sit Down,Relocated,Bad Wörishofen,Bavaria,Germany,Schwarzkopf,1902,82.0,31.1,0.0,['Chain Lift Hill'],,No
Achterbahn,Rasti-Land,Steel,Sit Down,Operating,Salzhemmendorf,Lower Saxony,Germany,Vekoma,679,27.9,21.7,0.0,['Booster Wheel Lift Hill'],,No
Achterbahn,Ferienzentrum Schloss Dankern,Steel,Sit Down,Operating,Haren,Lower Saxony,Germany,abc rides,1148,45.9,31.1,0.0,,,No
Achterbahn,Ticiland,Steel,Sit Down,Operating,Stein am Rhein,Schaffhausen,Switzerland,Zierer,728,29.5,24.2,0.0,['Booster Wheel Lift Hill'],,No
Aconcagua,Parque de la Ciudad,Steel,Sit Down,Removed,Buenos Aires,Buenos Aires,Argentina,Schwarzkopf,2463,118.8,57.9,0.0,,98.4,No
Acrobat,Nagashima Spa Land,Steel,Flying,Operating,Kuwana,Mie,Japan,Bolliger & Mabillard,3349,141.1,55.9,4.0,"['Chain Lift Hill', 'Pretzel Loop', 'In-Line Twist', 'Corkscrew', 'In-Line Twist']",,No
Adlerflug,Funny-World,Steel,Sit Down,Operating,Kappel,Baden-Württemberg,Germany,Sunkid GmbH,0,24.6,21.7,0.0,,,No
Adrena-Line,Six Flags Qiddiya,Steel,Suspended,Under Construction,Al Muzahimiyah,Ar Riyadh,Saudi Arabia,Vekoma,1620,65.6,44.7,0.0,,,No
Adrenaline Peak,Oaks Amusement Park,Steel,Sit Down,Operating,Portland,Oregon,United States,Gerstlauer Amusement Rides GmbH,1050,72.0,45.0,3.0,"['Vertical Chain Lift Hill', 'Loop', 'Cutback', 'Heartline Roll']",,No
Adventure Express,Kings Island,Steel,Sit Down,Operating,Mason,Ohio,United States,Arrow Dynamics,2963,63.0,35.0,0.0,"['Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill']",,No
Afterburn,Carowinds,Steel,Inverted,Operating,Charlotte,North Carolina,United States,Bolliger & Mabillard,2956,113.0,62.0,6.0,"['Chain Lift Hill', 'Loop', 'Immelmann', 'Zero-G Roll', 'Batwing', 'Corkscrew']",,Yes
Afterburner,Fun Spot Park,Steel,Sit Down,Removed,Angola,Indiana,United States,Arrow Dynamics,635,56.0,45.0,1.0,"['Electric Winch Launch', 'Loop', 'Electric Winch Launch']",47.0,No
Aftershock,Silverwood Theme Park,Steel,Inverted,Operating,Athol,Idaho,United States,Vekoma,1204,177.2,61.5,3.0,"['Catch Car Vertical Lift', 'Cobra Roll', 'Loop', 'Catch Car Vertical Lift']",,No
Aile Treni,ParkAntep,Steel,Sit Down,Operating,Gaziantep,Gaziantep,Turkey,Preston & Barbieri,0,39.3,31.3,0.0,,,No
Airplane Coaster,Playland Park,Wood,Sit Down,Removed,Rye,New York,United States,,3500,92.0,40.0,0.0,,,No
Aladdin Coaster,Sinbad Land,Steel,Sit Down,Operating,Baghdad,Baghdad,Iraq,Zamperla,1377,42.7,29.1,0.0,['Chain Lift Hill'],,No
Alap Alap,Dunia Fantasi,Steel,Sit Down,Operating,North Jakarta,Jakarta,Indonesia,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Alghazal,Meryal,Steel,Sit Down,Under Construction,Lusail,Al Daayen,Qatar,Intamin Amusement Rides,2463,75.5,44.7,0.0,,,No
Alien Taxi,Trans Studio Cibubur,Steel,Sit Down,Operating,East Jakarta,Jakarta,Indonesia,Maurer Rides GmbH,1391,50.8,37.3,0.0,['Chain Lift Hill'],,No
All American Triple Loop,Indiana Beach,Steel,Sit Down,Under Construction,Monticello,Indiana,United States,Schwarzkopf,3379,108.3,53.4,3.0,"['Booster Wheel Lift Hill', 'Loop', 'Loop', 'Loop']",100.9,No
Alpen Blitz,Parque de la Ciudad,Steel,Sit Down,Removed,Buenos Aires,Buenos Aires,Argentina,Schwarzkopf,689,16.4,44.7,0.0,,,No
Alpenexpress Enzian,Europa Park,Steel,Sit Down,Removed,Rust,Baden-Württemberg,Germany,Mack Rides GmbH & Co KG,866,19.7,28.0,0.0,,,No
Alpengeist,Busch Gardens Williamsburg,Steel,Inverted,Operating,Williamsburg,Virginia,United States,Bolliger & Mabillard,3828,195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.0,Yes
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,Dolancourt,Grand Est,France,Mack Rides GmbH & Co KG,2358,108.3,51.6,0.0,['Chain Lift Hill'],,No
Alpina Bobs,Holly Park,Steel,Sit Down,Removed,Échemiré,Pays de la Loire,France,Schwarzkopf,1765,44.3,31.1,0.0,['Chain Lift Hill'],,No
Alpine Bobsled,Six Flags Great Escape,Steel,Bobsled,Removed,Queensbury,New York,United States,Intamin Amusement Rides,1490,64.0,35.0,0.0,['Chain Lift Hill'],,No
Altair,Cinecittà World,Steel,Sit Down,Operating,Rome,Lazio,Italy,Intamin Amusement Rides,2870,108.3,52.8,10.0,"['Cable Lift Hill', 'Loop', 'Cobra Roll', 'Double Corkscrew', 'Quad Heartline Roll', 'Heartline Roll']",,No
Red,Six Flags Great America,Wood,Sit Down,Operating,Gurnee,Illinois,United States,Intamin Amusement Rides,4650,127.0,66.0,0.0,['Chain Lift Hill'],147.0,No
American Thunder,Six Flags St. Louis,Wood,Sit Down,Operating,Eureka,Missouri,United States,Great Coasters International,2713,82.0,48.0,0.0,['Chain Lift Hill'],80.0,Yes
Anaconda,Kings Dominion,Steel,Sit Down,Operating,Doswell,Virginia,United States,Arrow Dynamics,2700,128.0,50.0,4.0,"['Chain Lift Hill', 'Tunnel', 'Loop', 'Sidewinder', 'Double Corkscrew']",144.0,No
Anaconda,Gold Reef City,Steel,Inverted,Operating,Johannesburg,Gauteng,South Africa,Giovanola,2447,111.6,55.9,5.0,"['Loop', 'Zero-G Roll', 'Loop', 'Double Corkscrew']",,No
Anaconda,Luna Park Tel Aviv,Steel,Sit Down,Operating,Tel Aviv,Tel Aviv,Israel,Vekoma,935,116.5,47.0,3.0,"['Catch Car Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Anaconda,Fantasy World,Steel,Inverted,Operating,Almaty,Almaty,Kazakhstan,Fabbri,1181,55.4,29.1,0.0,,,No
Anaconda,Nanhu Amusement Park,Steel,Inverted,Relocated,Guangzhou,Guangdong,China,Fabbri,1181,55.4,29.1,0.0,,,No
Anaconda,Hundred Gardens Amusement Park,Steel,Inverted,Relocated,Qingdao,Shandong,China,Fabbri,1181,55.4,29.1,0.0,,,No
Anaconda,Happy Story,Steel,Inverted,Relocated,Shaoguan,Guangdong,China,Fabbri,1181,55.4,29.1,0.0,,,No
Anaconda,Lanzhou Yide City Colorful Carnival,Steel,Inverted,Relocated,Lanzhou,Gansu,China,Fabbri,1181,55.4,29.1,0.0,,,No
Anaconda,Marina Carnival,Steel,Inverted,Removed,Zhangzhou,Fujian,China,Fabbri,1181,55.4,29.1,0.0,,,No
Anubis: The Ride,Plopsaland De Panne,Steel,Sit Down,Operating,West Flanders,Flemish Region,Belgium,Gerstlauer Amusement Rides GmbH,1968,111.5,55.9,3.0,"['LSM Launch (rolling)', 'Dive Loop', 'Immelmann', 'Block Brake', 'Heartline Roll']",,No
Apocalypse,Lunapark,Steel,Sit Down,Operating,Agde,Occitanie,France,Vekoma,2398,75.0,40.0,2.0,"['Chain Lift Hill', 'Double Corkscrew']",68.0,No
Apocalypse the Ride,Six Flags Magic Mountain,Wood,Sit Down,Operating,Valencia,California,United States,Great Coasters International,2877,95.0,50.1,0.0,['Chain Lift Hill'],87.3,No
Apollo's Chariot,Busch Gardens Williamsburg,Steel,Sit Down,Operating,Williamsburg,Virginia,United States,Bolliger & Mabillard,4882,170.0,73.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",210.0,No
Apple Zapple,Kings Dominion,Steel,Sit Down,Operating,Doswell,Virginia,United States,Mack Rides GmbH & Co KG,1312,51.8,35.0,0.0,['Chain Lift Hill'],49.8,No
Aquaman: Power Wave,Six Flags Over Texas,Steel,Sit Down,Operating,Arlington,Texas,United States,Mack Rides GmbH & Co KG,708,146.3,62.1,0.0,"['LSM Launch (multi-pass)', 'Vertical Rollback', 'Vertical Rollback', 'Splash Track']",,No
Arashi,Nagashima Spa Land,Steel,Wing,Operating,Kuwana,Mie,Japan,S&S Worldwide,1019,120.0,38.0,0.0,['Vertical Chain Lift Hill'],54.0,No
ArieForce One,Fun Spot America Atlanta,Steel,Sit Down,Operating,Fayetteville,Georgia,United States,Rocky Mountain Construction,3400,155.0,64.0,4.0,"['Chain Lift Hill', 'Dive Loop', 'Zero-G Stall', 'Outward Banked Airtime Hill', 'Zero-G Roll', 'Barrel Roll']",146.0,Yes
Arkham Asylum - Shock Therapy,Warner Bros. Movie World,Steel,Inverted,Removed,Gold Coast,Queensland,Australia,Vekoma,2509,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Arthur,Europa Park,Steel,Inverted,Operating,Rust,Baden-Württemberg,Germany,Mack Rides GmbH & Co KG,1656,44.3,19.3,0.0,"['Dark/Show Section', 'Dark/Show Section', 'Dark/Show Section', 'Dark/Show Section', 'Dark/Show Section', 'Dark/Show Section']",,No
Aska,Nara Dreamland,Wood,Sit Down,Removed,Nara,Nara,Japan,Intamin Amusement Rides,3547,98.4,49.7,0.0,['Chain Lift Hill'],,Yes
Astro Express,Fun City,Steel,Sit Down,Operating,Mumbai,Maharashtra,India,I.E. Park,990,31.5,40.3,1.0,['Loop'],,No
Atlantica SuperSplash,Europa Park,Steel,Sit Down,Operating,Rust,Baden-Württemberg,Germany,Mack Rides GmbH & Co KG,1279,98.4,49.7,0.0,"['Chain Lift Hill', 'Turntable', 'Turntable', 'Splash Down', 'Water Channel']",,No
Atlantis Adventure,Lotte World,Steel,Sit Down,Operating,Songpa-Gu,Seoul,South Korea,Intamin Amusement Rides,2198,72.2,46.6,0.0,['LSM Lift Hill'],,No
Atomic,Greenland,Steel,Sit Down,Removed,Arao,Kumamoto,Japan,"Senyo Kogyo Co., Ltd.",1049,164.1,49.7,1.0,"['Chain Lift Hill', 'Loop']",,No
Atomic Coaster,Japan Monkey Park,Steel,Sit Down,Removed,Inuyama,Aichi,Japan,"Senyo Kogyo Co., Ltd.",869,124.7,49.7,1.0,['Loop'],,No
Atomic Coaster,Dreamland,Steel,Sit Down,Removed,Kangbook-gu,Seoul,South Korea,"Senyo Kogyo Co., Ltd.",869,124.7,49.7,1.0,['Loop'],,No
Aurora Flying Coaster,Silk Road Paradise,Steel,Flying,Operating,Xianyang,Shaanxi,China,Jinma Rides,2985,141.1,58.4,3.0,"['Chain Lift Hill', 'Lie To Fly', 'Loop', 'In-Line Twist', 'Fly To Lie']",,No
Avengers Assemble: Flight Force,Disneyland Paris - Walt Disney Studios Park,Steel,Sit Down,Operating,Marne la Vallée,Île-de-France,France,Vekoma,3267,80.0,57.0,3.0,"['LSM Launch', 'Sea Serpent', 'Corkscrew']",,No
Avonturenslang,Avonturenpark Hellendoorn,Steel,Sit Down,Relocated,Hellendoorn,Overijssel,Netherlands,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Azteka,Le Pal,Steel,Sit Down,Operating,Dompierre Sur Besbre,Auvergne-Rhône-Alpes,France,Soquet,1640,55.8,34.2,0.0,,,No
Backlot Stunt Coaster,Kings Island,Steel,Sit Down,Operating,Mason,Ohio,United States,Premier Rides,1960,45.2,40.0,0.0,"['LIM Launch', 'LIM Launch']",31.2,No
Backlot Stunt Coaster,Canada's Wonderland,Steel,Sit Down,Operating,Vaughan,Ontario,Canada,Premier Rides,1960,45.2,40.0,0.0,"['LIM Launch', 'LIM Launch']",31.2,No
Backlot Stunt Coaster,Kings Dominion,Steel,Sit Down,Operating,Doswell,Virginia,United States,Premier Rides,1960,45.2,40.0,0.0,"['LIM Launch', 'LIM Launch']",31.2,No
Backyardigans: Mission to Mars,Movie Park Germany,Steel,Sit Down,Operating,Bottrop,North Rhine-Westphalia,Germany,Vekoma,679,27.9,21.7,0.0,['Booster Wheel Lift Hill'],,No
Balagos - Flying Flame,Avonturenpark Hellendoorn,Steel,Sit Down,Operating,Hellendoorn,Overijssel,Netherlands,Vekoma,1509,82.0,37.3,2.0,"['Chain Lift Hill', 'Loop', 'Corkscrew']",,No
Balatoni Hullámvasút,Zobori Élménypark,Steel,Sit Down,Operating,Zalaszabar,Zala,Hungary,Zierer,921,36.1,28.6,0.0,['Booster Wheel Lift Hill'],,No
Balaurul 7 Capete,Parcul Lacul Tei,Steel,Sit Down,SBNO,Bucharest,Bucharest,Romania,Preston & Barbieri,1509,68.8,41.1,0.0,['Chain Lift Hill'],,No
Balder,Liseberg,Wood,Sit Down,Operating,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,3510,118.1,55.9,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,Yes
Banana Coaster,Pleasure Garden,Steel,Sit Down,Operating,Hitachinaka,Ibaraki,Japan,"Senyo Kogyo Co., Ltd.",406,17.1,16.8,0.0,['Chain Lift Hill'],,No
Bandit,Movie Park Germany,Wood,Sit Down,Operating,Bottrop,North Rhine-Westphalia,Germany,Roller Coaster Corporation of America,3605,91.2,49.7,0.0,['Chain Lift Hill'],81.7,No
Bandit,Yomiuriland,Steel,Sit Down,Operating,Inagi,Tokyo,Japan,Togo,5118,167.3,68.4,0.0,"['Chain Lift Hill', 'Helix']",,No
Bandit Bomber,Yas Waterworld,Steel,Inverted,Operating,Abu Dhabi,Abu Dhabi,United Arab Emirates,Vekoma,1765,75.5,31.1,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",,No
Banshee,Kings Island,Steel,Inverted,Operating,Mason,Ohio,United States,Bolliger & Mabillard,4124,167.0,68.0,7.0,"['Chain Lift Hill', 'Dive Loop', 'Loop', 'Zero-G Roll', 'Pretzel Knot', 'Loop', 'In-Line Twist']",150.0,Yes
Barnstormer,Walt Disney World - Magic Kingdom,Steel,Sit Down,Operating,Lake Buena Vista,Florida,United States,Vekoma,794,30.0,25.0,0.0,['Chain Lift Hill'],,No
Barnstormer,Adventure Island,Steel,Sit Down,Operating,Essex,England,United Kingdom,Zierer,728,29.5,24.2,0.0,['Booster Wheel Lift Hill'],,No
Baron 1898,Efteling,Steel,Sit Down,Operating,Kaatsheuvel,North Brabant,Netherlands,Bolliger & Mabillard,1643,98.4,55.9,2.0,"['Dark/Show Section', 'Chain Lift Hill', 'Tunnel', 'Immelmann', 'Zero-G Roll', 'Helix']",123.0,No
Barreling Rapids,Austin's Park,Steel,Sit Down,Operating,Pflugerville,Texas,United States,SBF Visa Group,393,20.0,11.2,0.0,['Booster Wheel Lift Hill'],,No
Bat,Canada's Wonderland,Steel,Sit Down,Operating,Vaughan,Ontario,Canada,Vekoma,935,116.5,47.0,3.0,"['Catch Car Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Bat,Kings Island,Steel,Suspended,Operating,Mason,Ohio,United States,Arrow Dynamics,2352,78.0,51.0,0.0,['Chain Lift Hill'],,No
Bat,Kings Island,Steel,Suspended,Removed,Mason,Ohio,United States,Arrow Dynamics,2456,100.0,34.0,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",,No
Bat,Lagoon,Steel,Inverted,Operating,Farmington,Utah,United States,Vekoma,1122,48.6,26.0,0.0,['Booster Wheel Lift Hill'],,No
Bat Coaster,Nigloland,Steel,Inverted,Relocated,Dolancourt,Grand Est,France,Pinfari,1148,65.6,38.0,2.0,['Roll Over'],,No
Bat Coaster,Antibes Land,Steel,Inverted,Removed,Antibes,Provence-Alpes-Côte d'Azur,France,Pinfari,1148,65.6,38.0,2.0,['Roll Over'],,No
Bat Diving Speedy Car,Hangzhou Children's Park,Steel,Suspended,Removed,Hangzhou,Zhejiang,China,Nanfang Amusement Rides Co.,656,26.3,18.6,0.0,['Spiral Lift'],,No
Bat Flyer,Yingze Park,Steel,Suspended,Removed,Taiyuan,Shanxi,China,Credible,1197,52.5,28.0,0.0,,,No
Batman,Six Flags Great Adventure,Steel,Sit Down,Relocated,Jackson,New Jersey,United States,Premier Rides,1137,200.0,65.0,1.0,"['LIM Launch', 'Top Hat - Inside', 'LIM Boost']",139.0,No
Batman Gotham City Escape,Parque Warner Madrid,Steel,Sit Down,Operating,Madrid,Community of Madrid,Spain,Intamin Amusement Rides,3313,147.6,64.6,4.0,"['LSM Launch', 'Corkscrew', 'LSM Boost', 'Top Hat - Outside', 'Reverse Sidewinder', 'Corkscrew', 'LSM Boost', 'Zero-G Stall', 'Vertical Rollback', 'Switch Track']",,No
Batman - The Dark Knight,Six Flags New England,Steel,Sit Down,Operating,Agawam,Massachusetts,United States,Bolliger & Mabillard,2600,117.8,55.0,5.0,"['Chain Lift Hill', 'Loop', 'Dive Loop', 'Zero-G Roll', 'Interlocking Corkscrews']",,No
Batman The Ride,Six Flags Great America,Steel,Inverted,Operating,Gurnee,Illinois,United States,Bolliger & Mabillard,2700,100.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags Magic Mountain,Steel,Inverted,Operating,Valencia,California,United States,Bolliger & Mabillard,2700,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags Great Adventure,Steel,Inverted,Operating,Jackson,New Jersey,United States,Bolliger & Mabillard,2693,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags St. Louis,Steel,Inverted,Operating,Eureka,Missouri,United States,Bolliger & Mabillard,2693,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags Over Georgia,Steel,Inverted,Operating,Austell,Georgia,United States,Bolliger & Mabillard,2700,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags Over Texas,Steel,Inverted,Operating,Arlington,Texas,United States,Bolliger & Mabillard,2700,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",,No
Batman The Ride,Six Flags Mexico,Steel,Inverted,Operating,Mexico City,Mexico City,Mexico,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Batman: The Ride,Six Flags New Orleans,Steel,Inverted,Relocated,New Orleans,Louisiana,United States,Bolliger & Mabillard,2693,105.0,50.0,5.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Loop', 'Wing Over', 'Wing Over']",80.0,No
Batman The Ride,Six Flags Fiesta Texas,Steel,Wing,Operating,San Antonio,Texas,United States,S&S Worldwide,1019,120.0,38.0,0.0,['Vertical Chain Lift Hill'],54.0,No
Batman The Ride,Six Flags Discovery Kingdom,Steel,Wing,Operating,Vallejo,California,United States,S&S Worldwide,1019,120.0,38.0,0.0,['Vertical Chain Lift Hill'],55.0,No
Battle of Blue Fire,Quancheng Euro Park,Steel,Sit Down,Operating,Dezhou,Shandong,China,Mack Rides GmbH & Co KG,3464,124.7,62.1,4.0,"['LSM Launch', 'Loop', 'Twisted Horseshoe Roll', 'In-Line Twist']",,No
Cylon,Universal Studios Singapore,Steel,Inverted,Operating,Sentosa,Sentosa,Singapore,Vekoma,3185,140.1,55.9,5.0,"['LSM Lift Hill', 'Cobra Roll', 'Corkscrew', 'Loop', 'Zero-G Roll']",,No
Batukai-Racer,Serengeti-Park,Steel,Sit Down,Operating,Hodenhagen,Lower Saxony,Germany,Technical Park,885,42.7,31.1,0.0,['Chain Lift Hill'],,No
Batwing,Six Flags America,Steel,Flying,Operating,Upper Marlboro,Maryland,United States,Vekoma,3339,115.0,50.0,5.0,"['Chain Lift Hill', 'Lie To Fly', 'Horseshoe', 'Fly To Lie', 'Loop', 'Lie To Fly', 'In-Line Twist', 'In-Line Twist', 'Fly To Lie']",,No
Bayou Express,Le Fleury,Steel,Sit Down,Operating,Wavrechain-sous-Faulx,Hauts-de-France,France,Zierer,197,10.8,16.2,0.0,['Booster Wheel Lift Hill'],,No
Beach Coaster,Coaster Park,Wood,Sit Down,Removed,Jacksonville Beach,Florida,United States,,3168,93.0,50.0,0.0,,,No
Bear Cat,Sans Souci Park,Wood,Sit Down,Removed,Hanover Township,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.",0,80.0,50.0,0.0,,,No
Bear Coaster,Higashiyama Zoo and Botanical Gardens,Steel,Sit Down,Operating,Nagoya,Aichi,Japan,"Hoei Sangyo Co., Ltd.",479,15.9,15.5,0.0,,,No
Bear Mountain,Animalia,Steel,Sit Down,Operating,Cotia,São Paulo,Brazil,Shangang Rides,406,11.5,18.6,0.0,['Booster Wheel Lift Hill'],,No
Beast,Kings Island,Wood,Sit Down,Operating,Mason,Ohio,United States,,7361,110.0,64.8,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.0,Yes
Beastie,Wonderland Sydney,Wood,Sit Down,Removed,Eastern Creek,New South Wales,Australia,,1499,48.9,37.3,0.0,,,No
Beaver Land Mine Ride,Geauga Lake & Wildwater Kingdom,Steel,Sit Down,Relocated,Aurora,Ohio,United States,Zierer,1181,26.3,22.4,0.0,['Booster Wheel Lift Hill'],,No
Behemoth,Canada's Wonderland,Steel,Sit Down,Operating,Vaughan,Ontario,Canada,Bolliger & Mabillard,5318,230.0,77.0,0.0,"['Chain Lift Hill', 'Block Brake']",,No
Beluga,Hasunuma Kaihin Park,Steel,Sit Down,Removed,Chiba,Chiba,Japan,"Hoei Sangyo Co., Ltd.",803,19.7,18.6,0.0,,,No
Berg- und Tal Hetz,Skyline Park,Steel,Sit Down,Under Construction,Bad Wörishofen,Bavaria,Germany,SBF Visa Group,853,49.2,31.3,0.0,,,No
Beyond the Cloud,Suzhou Amusement Land Forest World,Steel,Sit Down,Operating,Suzhou,Jiangsu,China,Mack Rides GmbH & Co KG,3412,205.1,80.5,5.0,"['LSM Launch', 'Top Hat - Outside', 'Zero-G Roll', 'Immelmann', 'Cobra Roll', 'Loop']",,No
Big Air,E-DA Theme Park,Steel,Sit Down,Operating,Dashu Township,Kaohsiung,Taiwan,Vekoma,498,209.3,67.1,0.0,['Catch Car Vertical Lift'],,No
Big Apple,Allou Fun Park,Steel,Sit Down,Removed,Athens,Attica,Greece,Zierer,1181,26.3,22.4,0.0,['Booster Wheel Lift Hill'],,No
Big Apple Coaster,"New York, New York Hotel & Casino",Steel,Sit Down,Operating,Las Vegas,Nevada,United States,Togo,4777,203.0,67.0,2.0,"['Chain Lift Hill', 'Loop', 'Dive Loop']",144.0,No
Big Bad John,Magic Springs Theme and Water Park,Steel,Sit Down,Operating,Hot Springs,Arkansas,United States,Arrow Dynamics,2349,32.0,37.0,0.0,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Tunnel']",41.0,No
Big Bad Wolf,Busch Gardens Williamsburg,Steel,Suspended,Removed,Williamsburg,Virginia,United States,Arrow Dynamics,2800,100.0,48.0,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",80.0,No
Big Bang,Freizeitpark Familienland,Steel,Sit Down,Operating,Sankt Jakob in Haus,Tyrol,Austria,Zierer,1738,72.2,40.4,0.0,['Chain Lift Hill'],,No
Big Bear Mountain,Dollywood,Steel,Sit Down,Operating,Pigeon Forge,Tennessee,United States,Vekoma,3990,66.0,48.0,0.0,"['LIM Launch', 'LIM Boost', 'LIM Boost']",,Yes
Big Bend,Six Flags Over Texas,Steel,Sit Down,Relocated,Arlington,Texas,United States,Schwarzkopf,2876,81.0,52.0,0.0,"['Electric Spiral Lift', 'Electric Spiral Lift']",,No
Big Bend,Six Flags St. Louis,Steel,Sit Down,Removed,Eureka,Missouri,United States,Schwarzkopf,2876,81.0,52.0,0.0,"['Electric Spiral Lift', 'Electric Spiral Lift']",,No
Big Blue,Dalmaland,Steel,Sit Down,Operating,Biograd na Moru,Zadar,Croatia,Schwarzkopf,1817,60.0,41.0,1.0,['Loop'],,No
Big Boom,Myoko Sunshine Land,Steel,Sit Down,Removed,Joetsu,Niigata,Japan,Meisho Amusement Machines,2755,126.0,54.7,1.0,['Loop'],,No
Big Boom,Nasu Highland Park,Steel,Sit Down,Operating,Nasu,Tochigi,Japan,Meisho Amusement Machines,2132,126.0,54.7,1.0,"['Chain Lift Hill', 'Loop']",,No
Big Dipper,Geauga Lake & Wildwater Kingdom,Wood,Sit Down,Removed,Aurora,Ohio,United States,,2680,65.0,32.0,0.0,['Chain Lift Hill'],,No
Big Dipper,Luna Park,Steel,Sit Down,Relocated,Sydney,New South Wales,Australia,Arrow Dynamics,2952,131.3,52.8,2.0,"['Reverse Sidewinder', 'Loop']",,No
Big Loop,Heide Park Resort,Steel,Sit Down,Operating,Soltau,Lower Saxony,Germany,Vekoma,2316,98.4,39.2,4.0,"['Chain Lift Hill', 'Loop', 'Loop', 'Double Corkscrew']",,No
Big One,Blackpool Pleasure Beach,Steel,Sit Down,Operating,Lancashire,England,United Kingdom,Arrow Dynamics,5497,213.0,74.0,0.0,,205.0,No
