Name,Park,Type,Design,Status,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Rank
Thunderhawk,Dorney Park & Wildwater Kingdom,Wood,Sit Down,Operating,Allentown,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.",2767,80.0,45.0,0.0,['Chain Lift Hill'],65.0,No
Thunderhawk,Geauga Lake & Wildwater Kingdom,Steel,Inverted,Relocated,Aurora,Ohio,United States,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Thunderhawk,Michigan's Adventure,Steel,Inverted,Operating,Muskegon,Michigan,United States,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Thunderhead,Dollywood,Wood,Sit Down,Operating,Pigeon Forge,Tennessee,United States,Great Coasters International,3230,100.4,53.7,0.0,['Chain Lift Hill'],100.0,Yes
Thunder Loop,Slagharen Themepark & Resort,Steel,Sit Down,Relocated,Slagharen,Overijssel,Netherlands,Schwarzkopf,1942,80.4,47.8,1.0,"['Chain Lift Hill', 'Loop']",,No
Thunderlooper,Alton Towers,Steel,Sit Down,Relocated,Staffordshire,England,United Kingdom,Schwarzkopf,722,137.8,53.0,1.0,"['Weight Drop Launch', 'Loop']",,No
Thunder Loop Express,Loudoun Castle,Steel,Sit Down,Relocated,East Ayrshire,Scotland,United Kingdom,Schwarzkopf,1942,80.4,47.8,1.0,['Loop'],,No
Thunder Road,Carowinds,Wood,Sit Down,Removed,Charlotte,North Carolina,United States,"Philadelphia Toboggan Coasters, Inc.",3819,93.0,58.0,0.0,['Chain Lift Hill'],,No
Thunder Run,Canada's Wonderland,Steel,Sit Down,Operating,Vaughan,Ontario,Canada,Mack Rides GmbH & Co KG,1083,33.0,40.0,0.0,,,No
Thunder Run,Kentucky Kingdom,Wood,Sit Down,Operating,Louisville,Kentucky,United States,Dinn Corporation,2850,90.0,53.0,0.0,['Chain Lift Hill'],,No
Tidal Twist,Columbus Zoo and Aquarium,Steel,Sit Down,Operating,Powell,Ohio,United States,Zamperla,1066,36.0,30.0,0.0,['Chain Lift Hill'],,No
Tidal Twister,SeaWorld San Diego,Steel,Sit Down,Removed,San Diego,California,United States,Skyline Attractions,320,22.0,30.0,1.0,['In-Line Twist'],,No
Tidal Wave,Six Flags Great America,Steel,Sit Down,Relocated,Gurnee,Illinois,United States,Schwarzkopf,863,137.8,57.0,1.0,"['Weight Drop Launch', 'Loop']",,No
Tidal Wave,Trimper Rides,Steel,Sit Down,Operating,Ocean City,Maryland,United States,Vekoma,935,116.5,47.0,3.0,"['Catch Car Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Tidal Wave,Jenkinson's Boardwalk,Steel,Sit Down,Operating,Point Pleasant Beach,New Jersey,United States,SBF Visa Group,393,20.0,11.2,0.0,['Booster Wheel Lift Hill'],,No
Tidal Wave,Clarence Pier,Steel,Sit Down,Operating,Hampshire,England,United Kingdom,SBF Visa Group,393,20.0,11.2,0.0,['Booster Wheel Lift Hill'],,No
Tiger Express,Mer de Sable,Steel,Sit Down,Operating,Ermenonville,Hauts-de-France,France,Mack Rides GmbH & Co KG,1213,45.9,28.0,0.0,['Chain Lift Hill'],,No
Tigre de Sibérie,Le Pal,Steel,Sit Down,Operating,Dompierre Sur Besbre,Auvergne-Rhône-Alpes,France,Reverchon,1181,42.7,24.9,0.0,,,No
Tigris,Busch Gardens Tampa,Steel,Sit Down,Operating,Tampa,Florida,United States,Premier Rides,863,150.0,62.0,1.0,"['LSM Launch (multi-pass)', 'In-Line Twist', 'Non Inverting Loop']",,No
Tig'rr Coaster,Indiana Beach,Steel,Sit Down,Operating,Monticello,Indiana,United States,Schwarzkopf,1765,44.3,31.1,0.0,,,No
Tiki-Waka,Walibi Belgium,Steel,Sit Down,Operating,Walloon Brabant,Wallonia,Belgium,Gerstlauer Amusement Rides GmbH,1850,68.9,34.2,0.0,['Chain Lift Hill'],,No
Timber,Walibi Rhône-Alpes,Wood,Sit Down,Operating,Les Avenières,Auvergne-Rhône-Alpes,France,Gravitykraft Corporation,1464,55.8,40.0,0.0,,54.8,No
Timber Drop,Fraispertuis City,Steel,Sit Down,Operating,Jeanménil,Grand Est,France,S&S Worldwide,0,96.0,41.0,2.0,"['Chain Lift Hill', 'Dive Loop', 'In-Line Twist']",,No
Timberhawk: Ride of Prey,Wild Waves Theme & Water Park,Wood,Sit Down,Operating,Federal Way,Washington,United States,S&S Worldwide,2600,75.0,50.0,0.0,['Chain Lift Hill'],,No
Timber Ride,Legoland Billund,Steel,Sit Down,Removed,Billund,Syddanmark,Denmark,Zierer,197,10.8,16.2,0.0,['Booster Wheel Lift Hill'],,No
Timber Terror,Silverwood Theme Park,Wood,Sit Down,Operating,Athol,Idaho,United States,"Custom Coasters International, Inc.",2700,85.0,55.0,0.0,,,No
Timber Wolf,Worlds of Fun,Wood,Sit Down,Operating,Kansas City,Missouri,United States,Dinn Corporation,4230,100.0,53.0,0.0,"['Chain Lift Hill', 'Over-Banked Curve']",95.0,No
Time Machine,Freestyle Music Park,Steel,Sit Down,Relocated,Myrtle Beach,South Carolina,United States,Bolliger & Mabillard,3738,150.0,65.0,6.0,"['Chain Lift Hill', 'Loop', 'Cobra Roll', 'Zero-G Roll', 'Loop', 'Corkscrew']",,No
Time Shuttle,Sino Wonderland,Steel,Inverted,Removed,Huainan,Anhui,China,Beijing Shibaolai Amusement Equipment,2624,108.3,49.7,4.0,"['Chain Lift Hill', 'Loop', 'Sidewinder', 'Double In-Line Twist']",95.2,No
Time Travel,Hot Go Park - Happy Jungle World,Wood,Sit Down,Operating,Fushun,Liaoning,China,Martin & Vleminckx,3681,103.3,58.4,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",101.8,No
Time Traveler,Silver Dollar City,Steel,Sit Down,Operating,Branson,Missouri,United States,Mack Rides GmbH & Co KG,3020,100.0,50.3,3.0,"['Dive Loop', 'LSM Launch', 'Loop', 'Zero-G Roll', 'LSM Boost']",90.0,Yes
