Rank,Name,Park,Location,Supplier,Year,Awarded
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2016
18,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2016
19,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,Custom Coasters,2016
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC/Miller,2016
21,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2016
22,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",2015,Gravity Group,2016
23,Wodan,Europa-Park,"Rust, Germany",2012,Great Coasters Int.,2016
24,Troy,Toverland,"Sevenum, Netherlands",2007,Great Coasters Int.,2016
25 tie,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC/Schmeck,2016
25 tie,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",2009,Great Coasters Int.,2016
27,Cyclone,Luna Park,"Brooklyn, N.Y.",1927,Keenan/Baker,2016
28,Wildfire,Kolmården,"Norrköping, Sweden",2016,Rocky Mountain,2016
29,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",1998,Custom Coasters,2016
30,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",1958,Phare,2016
31,The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,Custom Coasters,2016
32,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",1958,"Wright, Blackpool",2016
33,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2009,Great Coasters Int.,2016
34,White Lightning,Fun Spot America,"Orlando, Fla.",2013,Great Coasters Int.,2016
35,Megafobia,Oakwood Leisure Park,"Pembrokeshire, Wales",1996,Custom Coasters,2016
36,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",1995,Gravity Group,2016
37,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",1998,Custom Coasters,2016
38,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2016
39,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",1976,PTC/Allen,2016
40,Tremors,Silverwood,"Athol, Idaho",1999,Custom Coasters,2016
41,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",2013,Knoebels,2016
42,Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC/Hoover,2016
43,Racer,Kennywood,"West Mifflin, Pa.",1927,PTC/Miller,2016
44,T Express,Everland,"Yongin-si, South Korea",2008,Intamin,2016
45,Twister,Gröna Lund,"Stockholm, Sweden",2011,Gravity Group,2016
46,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",2011,Gravity Group,2016
47,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman/Knoebels,2016
48,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,Great Coasters Int.,2016
49,Wood Coaster,Knight Valley,"Shenzhen, China",2011,Great Coasters Int.,2016
50,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/The Gravity Group,2016
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,Custom Coasters,2015
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",2006,Intamin,2015
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn – PTC/Schmeck,2015
4,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2015
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,Great Coasters Int.,2015
6,The Beast,Kings Island,"Mason, Ohio",1979,KECO,2015
7,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2015
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",2013,Rocky Mountain,2015
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",2013,Great Coasters Int.,2015
10,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,Great Coasters Int.,2015
11,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2015
12,The Raven,Holiday World,"Santa Claus, Ind.",1995,Custom Coasters,2015
13,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2015
14,Goliath,Six Flags Great America,"Gurnee, Ill.",2014,Rocky Mountain,2015
15,Thunderbolt,Kennywood,"West Mifflin, Pa",1927,Vettel/Miller,2015
16,Cyclone,Luna Park/Coney Island,"Brookyn, N.Y.",1927,Keenan/Baker,2015
17,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,Great Coasters Int.,2015
18,Troy,Toverland,"Sevenum, the Netherlands",2007,Great Coasters Int.,2015
19,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",2015,Gravity Group,2015
20,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,Custom Coasters,2015
21 (tie),Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",2013,Knoebels,2015
21 (tie),Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC/Miller,2015
23,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2015
24,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC/Schmeck,2015
25,The Legend,Holiday World,"Santa Claus, Ind.",2000,Custom Coasters,2015
26,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",1958,"Wright, Blackpool",2015
27,Megafobia,Oakwood,"Pembrokeshire, Wales",1996,Custom Coasters,2015
28,Rampage,Alabama’s Splash Adventure,"Bessemer, Ala.",1998,Custom Coasters,2015
29,Wodan Timbur Coaster,Europa-Park,"Rust, Germany",2012,Great Coasters Int.,2015
30,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",1959,Phare,2015
31,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",2005,Gravity Group,2015
32,Tremors,Silverwood,"Athol, Idaho",1999,Custom Coasters,2015
33,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,Great Coasters Int.,2015
34,Grand National,Blackpool Pleasure Beach,"Blackpool, England",1935,Paige,2015
35 (tie),Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC/Hoover,2015
35 (tie),Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2015
37,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",2009,Great Coasters Int.,2015
38,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",2011,Gravity Group,2015
39,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2009,Great Coasters Int.,2015
40,White Lightning,Fun Spot America,"Orlando, Fla.",2013,Great Coasters Int.,2015
41,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman/Knoebels,2015
42,The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,Custom Coasters,2015
43,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2015
44,Twister,Gröna Lund,"Stockholm, Sweden",2011,Gravity Group,2015
45 (tie),Comet,Hersheypark,"Hershey, Pa.",1946,PTC/Schmeck,2015
45 (tie),Zippin Pippin,Bay Beach,"Green Bay, Wis.",2011,M&V,2015
47,T Express,Everland,"Yongin-si, South Korea",2008,Intamin,2015
48 (tie),Big Dipper,Blackpool Pleasure Beach,"Blackpool, England",1923,PTC/Miller,2015
48 (tie),Tonnerre de Zeus,Parc Asterix,"Plailly, France",1997,Custom Coasters,2015
50,Racer,Kennywood,"West Mifflin, Pa.",1927,PTC/Miller,2015
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,Custom Coasters,2014
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",2006,Intamin,2014
3,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2014
4,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn – PTC/Schmeck,2014
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,Great Coasters Int.,2014
6,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2014
7,Gold Striker,California’s Great America,"Santa Clara, Calif.",2013,Great Coasters Int.,2014
8,The Beast,Kings Island,"Mason, Ohio",1979,KECO,2014
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",2013,Rocky Mountain,2014
10,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2014
11,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,Great Coasters Int.,2014
12,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,Great Coasters Int.,2014
13,The Raven,Holiday World,"Santa Claus, Ind.",1995,Custom Coasters,2014
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2014
15,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,Custom Coasters,2014
16,Troy,Toverland,"Sevenum, Netherlands",2007,Great Coasters Int.,2014
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2014
18,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC/Schmeck,2014
19,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC/Miller,2014
20,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,Great Coasters Int.,2014
21,Wodan Timbur Coaster,Europa-Park,"Rust, Germany",2012,Great Coasters Int.,2014
22,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",1927,Kenan/Baker,2014
23,Goliath,Six Flags Great America,"Gurnee, Ill.",2014,Rocky Mountain,2014
24,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2014
25,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",2013,Knoebels,2014
26,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",2005,Gravity Group,2014
27,The Legend,Holiday World,"Santa Claus, Ind.",2000,Custom Coasters,2014
28,Wooden Warrior,Quassy Park,"Middlebury, Conn.",2011,Gravity Group,2014
29,El Toro,Freizeitpark Plohn,"Lengenfeldl, Germany",2009,Great Coasters Int.,2014
30,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2014
31,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2009,Great Coasters Int.,2014
32,Grand National,Blackpool Pleasure Beach,"Blackpool, England",1935,Paige,2014
33,Megafobia,Oakwood Leisure Park,"Pembrokeshire, Wales",1996,Custom Coasters,2014
34,Tremors,Silverwood,"Athol, Idaho",1999,Custom Coasters,2014
35 (tie),Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC/Hoover,2014
35 (tie),Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2014
37,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",1959,Phare,2014
38 (tie),Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",2009,Great Coasters Int.,2014
38 (tie),White Lightning,Fun Spot America,"Orlando, Fla.",2013,Great Coasters Int.,2014
40,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman/Knoebels,2014
41,Rutschebanen,Tivoli Gardens,"Copenhagen, Denmark",1914,Thompson,2014
42,Racer,Kennywood,"West Mifflin, Pa.",1927,PTC/Miller,2014
43,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",1958,Wright/Blackpool,2014
44,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",1998,Custom Coasters,2014
45,Colossus,Six Flags Magic Mountain,"Valencia, Calif.",1978,IAD,2014
46,Tonnerre de Zeus,Parc Asterix,"Plailly, France",1997,Custom Coasters,2014
47,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",2004,S&S,2014
48,The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,Custom Coasters,2014
49,Viper,Six Flags Great America,"Gurnee, Ill.",1995,Starkey/Six Flags,2014
50,Wood Coaster,Knight Valley,"Shenzhen, China",2011,Great Coasters Int.,2014
1,Bouder Dash,Lake Compounce,"Bristol, Conn.",2000,CCI,2013
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",2006,Intamin,2013
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn/PTC-Schmeck,2013
4,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2013
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,GCII,2013
6,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2013
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",2013,Rocky Mountain,2013
8,The Beast,Kings Island,"Mason, Ohio",1979,KECO,2013
9,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,GCII,2013
10,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,CCI,2013
11,The Raven,Holiday World,"Santa Claus, Ind.",1995,CCI,2013
12,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,GCII,2013
13,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2013
14,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",2005,Gravity Group,2013
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2013
16,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC – Schmeck,2013
17,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2013
18,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC – Miller,2013
19 (tie),Cyclone,Luna Park (Coney Island),"Brooklyn, N.Y.",1927,Keenan/Baker,2013
19 (tie),The Legend,Holiday World,"Santa Claus, Ind.",2000,CCI,2013
21,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,GCII,2013
22,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2013
23,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",2009,GCII,2013
24,Tremors,Silverwood,"Athol, Idaho",1999,CCI,2013
25,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2008,GCII,2013
26,Gold Striker,California’s Great America,"Santa Clara, Calif.",2013,GCII,2013
27,Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC – Hoover,2013
28,Troy,Toverland,"Sevenum, Netherlands",2007,GCII,2013
29,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",1998,CCI,2013
30,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",1958,Phare,2013
31,Wodan Timbur Coaster,Europa-Park,"Rust, Germany",2012,GCII,2013
32,Cornball Express,Indiana Beach,"Monticello, Ind.",2001,CCI,2013
33,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2013
34,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2013
35,Racer,Kennywood,"West Mifflin, Pa.",1927,PTC – Miller,2013
36,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",2011,Gravity Group,2013
37,Zippin Pippin,Bay Beach Amusement Park,"Green Bay, Wis.",2011,M&V,2013
38,Thunderbird,PowerLand,"Alahärmä, Finland",2006,GCII,2013
39,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman-Knoebels,2013
40,Megafobia,Oakwood,"Pembrokeshire, Wales",1996,CCI,2013
41 (tie),Grand National,"Pleasure Beach, Blackpool","Blackpool, England",1935,Paige,2013
41 (tie),T Express,Everland,"Yongin-si, South Korea",2008,Intamin,2013
43,Great American Scream Machine,Six Flags Over Georgia,"Austell, Ga.",1973,PTC – Allen,2013
44 (tie),Tonnerre de Zeus,Parc Astérix,"Plailly, France",1997,CCI,2013
44 (tie),Viper,Six Flags Great America,"Gurnee, Ill.",1995,Starkey – Six Flags,2013
46 (tie),HellCat,Timber Falls,"Wisconsin Dells, Wis.",2004,S & S,2013
46 (tie),Twister,Gröna Lund,"Stockholm, Sweden",2011,Gravity Group,2013
48,Cyclone,Lakeside Park,"Denver, Colo.",1940,Vettel,2013
49,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",2009,GCII,2013
50,Yankee Cannonball,Canobie Lake Park,"Salem, N.H.",1936,PTC – Schmeck,2013
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",2006,Intamin,2012
2,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2012
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn/PTC-Schmeck,2012
4,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,GCII,2012
5,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,CCI,2012
6,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2012
7,The Beast,Kings Island,"Mason, Ohio",1979,KECO,2012
8,The Raven,Holiday World,"Santa Claus, Ind.",1995,CCI,2012
9,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,CCI,2012
10,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2012
11,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,GCII,2012
12,Hades,Mount Olympus Theme Park,"Wisconsin Dells, Wis.",2005,Gravity Group,2012
13,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,GCII,2012
14,Cyclone,Coney Island/Luna Park,"Brooklyn, N.Y.",1927,Kenan/Baker,2012
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2012
16,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC – Miller,2012
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2012
18,The Legend,Holiday World,"Santa Claus, Ind.",2000,CCI,2012
19,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2012
20,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC – Schmeck,2012
21,Tremors,Silverwood,"Athol, Idaho",1999,CCI,2012
22,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,GCII,2012
23,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",1998,CCI,2012
24,Twister,Gröna Lund,"Stockholm, Sweden",2011,Gravity Group,2012
25,Troy,Toverland,"Sevenum, the Netherlands",2007,GCII,2012
26,Viper,Six Flags Great America,"Gurnee, Ill.",1995,Starkey/Six Flags,2012
27,Megafobia,Oakwood,"Pembrokshire, Wales",1996,CCI,2012
28,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",2009,GCII,2012
29,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",1958,Phare,2012
30,Grand National,"Pleasure Beach, Blackpool","Blackpool, England",1935,Paige,2012
31,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2008,GCII,2012
32,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",2011,Gravity Group,2012
33,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman-Knoebels,2012
34,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",2009,GCII,2012
35,Thunderbird,PowerLand,"Alahärmä, Finland",2006,GCII,2012
36,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",2004,S & S,2012
37,Tonnerre de Zeus,Park Astérix,"Plailly, France",1997,CCII,2012
38,Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC – Hoover,2012
39 (tie),Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2012
39 (tie),Cornball Express,Indiana Beach,"Monticello, Ind.",2001,CCI,2012
41,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",ca. 1914,LaMarcus Thompson,2012
42 (tie),The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,CCI,2012
42 (tie),Racer,Kennywood,"West Mifflin, Pa.",1927,PTC – Miller,2012
44,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2012
45,Mean Streak,Cedar Point,"Sandusky, Ohio",1991,Dinn-Summers,2012
46 (tie),T Express,Everland,"Yonjin-si, South Korea",2008,Intamin,2012
46 (tie),Timber Terror,Silverwood,"Athol, Idaho",1996,CCI,2012
48,Great American Scream Machine,Six Flags Over Georgia,"Austell, Ga.",1973,PTC – Allen,2012
49,Wild Mouse,"Pleasure Beach, Blackpool","Blackpool, England",1958,Wright,2012
50,Renegade,Valleyfair!,"Shakopee, Minn.",2007,GCII,2012
1,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2011
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn/PTC-Schmeck,2011
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",2006,Intamin,2011
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,CCI,2011
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,GCII,2011
6,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2011
7,The Beast,Kings Island,"Kings Mills, Ohio",1979,KECO,2011
8,Hades,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",2005,Gravity Group,2011
9,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,CCI,2011
10,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,GCII,2011
11,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,GCII,2011
12,The Raven,Holiday World,"Santa Claus, Ind.",1995,CCI,2011
13,Balder,Liseberg,"Gothenburg, Sweden",2003,Intamin,2011
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2011
15,Cyclone,Coney Island/Luna Park,"Brooklyn, N.Y.",1927,Keenan/Baker,2011
16,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,GCII,2011
17,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2011
18,The Legend,Holiday World,"Santa Claus, Ind.",2000,CCI,2011
19,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC-Schmeck,2011
20 (tie),Megafobia,Oakwood Theme Park,"Pembrokshire, Wales",1996,CCI,2011
20 (tie),Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman-Knoebels,2011
22,American Thunder,Six Flags St. Louis,"Eureka, Mo.",2008,GCII,2011
23,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1920,PTC – Miller,2011
24,Cornball Express,Indiana Beach,"Monticello, Ind.",2004,CCI,2011
25,Grand National,"Pleasure Beach, Blackpool","Blackpool, England",1935,Paige,2011
26,Renegade,Valleyfair,"Shakopee, Minn.",2007,GCII,2011
27,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",1998,CCI,2011
28,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2011
29,Colossos,Heide-Park,"Soltau, Germany",2001,Intamin,2011
30,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",2004,S&S,2011
31,Tremors,Silverwood,"Athol, Idaho",1999,CCI,2011
32,Rampage,Alabama Adventure,"Bessemer, Ala.",1998,CCI,2011
33,Troy,Toverland,"Sevenum, The Netherlands",2007,GCII,2011
34,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C. Canada",1958,Phare,2011
35,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",2009,GCII,2011
36 (tie),Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",2009,GCII,2011
36 (tie),Twister,Gröna Lund,"Stockholm, Sweden",2011,Gravity Group,2011
38,Thunderbird,PowerLand,"Alahärmä, Finland",2006,GCII,2011
39,T Express,Everland,"Yongin-si, South Korea",2008,Intamin,2011
40,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",2011,Gravity Group,2011
41,Viper,Six Flags Great America,"Gurnee, Ill.",1995,Starkey/Six Flags,2011
42,The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,CCI,2011
43,Racer,Kennywood,"West Mifflin, Pa.",1927,Miller,2011
44 (tie),Wild Mouse,"Pleasure Beach, Blackpool","Blackpool, England",1958,Wright,2011
44 (tie),Zippin Pippin,Bay Beach Amusement Park,"Green Bay, Wis.",2011,M&V/Gravity Group,2011
46,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",1938,Vettel,2011
47,Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",1992,Pierce,2011
48,Rutschebanen,Tivoli Gardens,"Copenhagen, Denmark",ca. 1915,unknown,2011
49,Blue Streak,Cedar Point,"Sandusky, Ohio",1964,PTC-Hoover,2011
50,Tonnerre de Zeus,Parc Asterix,"Plailly, France",1997,CCI,2011
1,The Voyage,Holiday World,"Santa Claus, Ind.",2006,Gravity Group,2010
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",2006,Intamin,2010
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",1985,Dinn/PTC-Schmeck,2010
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",2000,CCI,2010
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",2004,GCII,2010
6,Ravine Flyer II,Waldameer,"Erie, Pa.",2008,Gravity Group,2010
7,The Beast,Kings Island,"Kings Mills, Ohio",1979,KECO,2010
8,Hades,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",2005,Gravity Group,2010
9,The Raven,Holiday World,"Santa Claus, Ind.",1995,CCI,2010
10,Lightning Racer,Hersheypark,"Hershey, Pa.",2000,GCII,2010
11,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",1998,CCI,2010
12,Prowler,Worlds of Fun,"Kansas City, Mo.",2009,GCII,2010
13,Cyclone,Coney Island,"Brooklyn, N.Y.",1927,Keenan/Baker,2010
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",1968,Vettel/Miller,2010
15,The Legend,Holiday World,"Santa Claus, Ind.",2000,CCI,2010
16,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",2006,GCII,2010
17,Comet,The Great Escape,"Lake George, N.Y.",1994,PTC-Schmeck,2010
18,Colossos,Heide Park,"Soltau, Germany",2001,Intamin,2010
19,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",2004,S&S,2010
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",1921,PTC – Miller,2010
21,Balder,Liseberg,"Stockholm, Sweden",2003,Intamin,2010
22,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",1924,Prior & Church/Looff,2010
23,Evel Knievel,Six Flags St. Louis,"Eureka, Mo.",2008,GCII,2010
24,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",1998,CCI,2010
25,Tremors,Silverwood,"Athol, Idaho",1999,CCI,2010
26,Coaster,Playland at the PNE,"Vancouver, B.C. Canada",1958,Phare,2010
27,Terminator Salvation: The Ride,Six Flags Magic Mountain,"Valencia, Calif.",2009,GCII,2010
28,Grand National,Pleasure Beach Blackpool,"Blackpool, England",1935,Paige,2010
29,Cornball Express,Indiana Beach,"Monticello, Ind.",2001,CCI,2010
30,Megafobia,Oakwood Leisure Park,"Pembrokshire, Wales",1996,CCI,2010
31,The Boss,Six Flags St. Louis,"Eureka, Mo.",2000,CCI,2010
32,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",1999,Fetterman/Knoebels,2010
33,Rampage,Alabama Adventure,"Bessemer, Ala.",1998,CCI,2010
34,Viper,Six Flags Great America,"Gurnee, Ill.",1995,Starkey/Six Flags,2010
35,Racer,Kennywood,"West Mifflin, Pa.",1927,PTC-Miller,2010
36,T Express,Everland,"Yongin-si, South Korea",2008,Intamin,2010
37,Thunderbird,PowerPark,"Alaharma, Finland",2006,GCII,2010
38,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",2007,M&V/Gravity Group,2010
39,Hurricane,Boomers,"Dania Beach, Fla.",2000,Coaster Works,2010
40,Tonnerre de Zeus,Parc Asterix,"Plailly, France",1997,CCI,2010
