Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
26,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2021,Steel,Sit Down,Operating,3/14/2018,Branson,Missouri,United States,Mack Rides GmbH & Co KG,"3,020.00",100.00,50.30,3.00,"['Dive Loop', 'LSM Launch', 'Loop', 'Zero-G Roll', 'LSM Boost']",90.00,1:57,,90,,,,,14,,,
26,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2002,2021,Steel,Wing,Operating,1/12/2002,Valencia,California,United States,Arrow Dynamics,"3,610.00",175.00,76.00,2.00,"['Chain Lift Hill', 'Inside Raven Turn', 'Fly To Lie', 'Outside Raven Turn', 'Fly To Lie']",215.00,,4,88.5,,,,,,,,
28,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2021,Steel,Sit Down,Operating,4/1/2006,Austell,Georgia,United States,Bolliger & Mabillard,"4,480.00",200.00,70.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Helix', 'Hill', 'Horseshoe', 'Hill', 'Hill', 'Hill']",175.00,,,,,,,,,,,
31,Orion,Kings Island,"Mason, Ohio",B&M,2020,2021,Steel,Sit Down,Operating,7/2/2020,Mason,Ohio,United States,Bolliger & Mabillard,"5,321.00",287.00,91.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",300.00,3:00,,85,,,,,,,,
33,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2021,Steel,Sit Down,Operating,5/26/2012,Hershey,Pennsylvania,United States,Intamin Amusement Rides,"3,600.00",200.00,75.00,0.00,['Cable Lift Hill'],,,,85,,,,,,,,
35,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2021,Steel,Sit Down,Operating,8/1/2000,Kuwana,Mie,Japan,"D.H. Morgan Manufacturing, Inc.","8,133.20",318.20,95.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Block Brake', 'Tunnel', 'Tunnel']",306.80,4:00,,68,,,,,,,,
36,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2021,Steel,Sit Down,Operating,4/22/2011,Arlington,Texas,United States,Rocky Mountain Construction,"4,200.00",153.00,65.00,0.00,"['Chain Lift Hill', 'Over-Banked Curve']",147.00,,,79,,,,,,,,
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2021,Steel,Inverted,Operating,4/18/2014,Mason,Ohio,United States,Bolliger & Mabillard,"4,124.00",167.00,68.00,7.00,"['Chain Lift Hill', 'Dive Loop', 'Loop', 'Zero-G Roll', 'Pretzel Knot', 'Loop', 'In-Line Twist']",150.00,2:40,,,,,,,,,,
39,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain,2018,2021,Steel,Sit Down,Operating,3/24/2018,Doswell,Virginia,United States,Rocky Mountain Construction,"3,361.00",111.00,54.00,3.00,"['Chain Lift Hill', 'Barrel Roll Downdrop', 'Over-Banked Curve', 'Cutback', 'Zero-G Roll']",,,,,,,,,,,,
40,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2021,Steel,Sit Down,Operating,4/26/2014,Gothenburg,Västra Götaland,Sweden,Mack Rides GmbH & Co KG,"4,530.80",134.50,62.10,7.00,"['Corkscrew', 'LSM Launch (rolling)', 'Corkscrew', 'Norwegian Loop', 'Zero-G Roll', 'LSM Boost', 'Top Hat - Inside', 'In-Line Twist']",,2:10,4.3,,,,,,,,,
41,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Florida",Intamin,2011,2021,Steel,Sit Down,Operating,5/27/2011,Tampa,Florida,United States,Intamin Amusement Rides,"4,429.00",102.00,60.00,1.00,"['LSM Launch', 'LSM Boost', 'Windcatcher Tower', 'Heartline Roll', 'LSM Boost']",130.00,,4,,,,,,,,,
42,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2021,Steel,Inverted,Operating,5/24/2006,Brühl,North Rhine-Westphalia,Germany,Bolliger & Mabillard,"2,519.70",85.30,49.70,4.00,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Jr. Immelmann', 'Corkscrew', 'Corkscrew']",88.60,,4,,,,,,,,,
42,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain,2015,2021,Steel,Sit Down,Operating,5/24/2015,Agawam,Massachusetts,United States,Rocky Mountain Construction,"3,320.00",109.00,55.00,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll', 'Zero-G Roll']",,,,78,,,,,,,,
44,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2021,Steel,Sit Down,Operating,5/1/1999,Gurnee,Illinois,United States,Bolliger & Mabillard,"5,057.00",202.00,73.00,0.00,"['Chain Lift Hill', 'Block Brake']",208.00,2:30,,65,,,,,,,,
46,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2021,Steel,Sit Down,SBNO,4/23/1988,Stockholm,Stockholm,Sweden,Zierer,"2,624.70",105.00,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Block Brake', 'Block Brake', 'Block Brake', 'Tunnel']",,1:30,4.5,80,,,,,,,,
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2021,Steel,Sit Down,Operating,4/22/1978,Arlington,Texas,United States,Schwarzkopf,"3,600.00",116.00,60.00,2.00,"['Chain Lift Hill', 'Loop', 'Loop']",,2:00,,,,,,,,,,
48,Cannibal,Lagoon,"Farmington, Utah",ART Engineering,2015,2021,Steel,Sit Down,Operating,7/2/2015,Farmington,Utah,United States,ART Engineering GmbH,"2,735.00",208.00,70.00,3.00,"['Elevator Lift', 'Immelmann', 'Dive Loop', 'Over-Banked Curve', 'Block Brake', 'Lagoon Roll', 'Helix']",,2:30,,116,,,,,,,,
48,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,2021,Steel,Inverted,Operating,5/7/1994,Sandusky,Ohio,United States,Bolliger & Mabillard,"3,790.00",137.00,57.00,6.00,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Cobra Roll', 'Block Brake', 'Corkscrew', 'Corkscrew']",119.00,2:16,,45,,,,,,,,
50,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2021,Steel,Sit Down,Operating,4/18/1987,Gothenburg,Västra Götaland,Sweden,Zierer,"4,397.00",147.70,49.70,0.00,,,,3,36,,,,,,,,
2,Voyage,Holiday World,"Santa Claus, Ind.",The Gravity Group,,2019,Wood,Sit Down,Operating,5/6/2006,Santa Claus,Indiana,United States,,"6,442.00",159.00,67.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill']",154.00,2:45,,66,,,,,,,,
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,,2019,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
5,Beast,Kings Island,"Mason, Ohio",KECO,,2019,Wood,Sit Down,Operating,4/14/1979,Mason,Ohio,United States,,"7,361.00",110.00,64.80,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.00,4:10,,,,,,,,,,
7,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,,2019,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,"3,800.00",,73.00,0.00,['Chain Lift Hill'],165.00,,3.5,73,,,,,,,,
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,,2019,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
10,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,,2019,Wood,Sit Down,Operating,4/15/2017,Mason,Ohio,United States,Great Coasters International,"3,265.00",109.20,53.00,0.00,"['Chain Lift Hill', 'Tunnel']",,,,,,,,,,,,
11,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,,2019,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
13,Balder,Liseberg,"Gothenburg, Sweden",Intamin,,2019,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
16,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,,2019,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,"4,150.30",183.80,71.50,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.80,2:00,4,83,,,,,,,,
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,,2019,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
18,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,,2019,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,,2019,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
21,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,,2019,Wood,Sit Down,Operating,5/6/1995,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","2,800.00",80.00,48.00,0.00,['Chain Lift Hill'],85.00,1:30,,,,,,,,,,
25,Troy,Toverland,"Sevenum, the Netherlands",Great Coasters Int.,,2019,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
26,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,,2019,Wood,Sit Down,Operating,5/6/2000,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","4,042.00",99.00,59.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Tunnel', 'Tunnel', 'Tunnel', 'Helix', 'Double Down', 'Tunnel']",113.00,2:00,,,,,,,,,,
27,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,,2019,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
29,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,,2019,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
31,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group,,2019,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
36,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,,2019,Wood,Sit Down,Operating,4/29/2000,Eureka,Missouri,United States,"Custom Coasters International, Inc.","4,631.00",122.00,66.30,0.00,['Chain Lift Hill'],150.00,,,52,,,,,,,,
37,T Express,Everland,"Yonjinsi, South Korea",Intamin,,2019,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,"5,383.80",183.80,64.60,0.00,['Cable Lift Hill'],150.90,,,77,,,,,,,,
38,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,,2019,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.","2,558.00",78.00,40.00,0.00,['Chain Lift Hill'],72.00,1:45,,45,,,,,,,,
40,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel /NAD,,2019,Wood,Sit Down,Removed,7/4/1938,Conneaut Lake,Pennsylvania,United States,,"2,900.00",78.00,,0.00,"['Tunnel', 'Chain Lift Hill']",,2:20,,,,,,,,,,
41,InvadR,Busch Gardens Williamsburg,"Williamsburg, Va.",Great Coasters Int.,,2019,Wood,Sit Down,Operating,4/7/2017,Williamsburg,Virginia,United States,Great Coasters International,"2,118.00",,48.00,0.00,,74.00,,,,,,,,,,,
47,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",Great Coasters Int.,,2019,Wood,Sit Down,Operating,4/10/2009,Lengenfeld,Saxony,Germany,Great Coasters International,"2,379.00",80.50,45.60,0.00,"['Tunnel', 'Tunnel']",70.70,,,,,,,,,,,
48,Twister,Gröna Lund,"Stockholm, Sweden",The Gravity Group,,2019,Wood,Sit Down,Operating,5/7/2011,Stockholm,Stockholm,Sweden,Gravitykraft Corporation,"1,544.00",51.00,38.00,0.00,['Chain Lift Hill'],46.00,,3,56,,,,,,,,
50,Grizzly,Kings Dominion,"Doswell, Va.",Taft,,2019,Wood,Sit Down,Operating,3/27/1982,Doswell,Virginia,United States,,"3,150.00",87.00,,0.00,['Chain Lift Hill'],,2:30,,,,,,,,,,
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",PTC/SchmeckDinn,1985,2018,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2018,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
3,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2018,Wood,Sit Down,Operating,5/6/2006,Santa Claus,Indiana,United States,,"6,442.00",159.00,67.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill']",154.00,2:45,,66,,,,,,,,
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2018,Wood,Sit Down,Operating,4/14/1979,Mason,Ohio,United States,,"7,361.00",110.00,64.80,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.00,4:10,,,,,,,,,,
6,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2018,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,"3,800.00",,73.00,0.00,['Chain Lift Hill'],165.00,,3.5,73,,,,,,,,
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2018,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
8,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2018,Wood,Sit Down,Operating,5/17/2008,Erie,Pennsylvania,United States,,"2,900.00",80.00,57.00,0.00,['Chain Lift Hill'],118.00,1:30,,60,,,,,,,,
10,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2018,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2018,Wood,Sit Down,Operating,4/15/2017,Mason,Ohio,United States,Great Coasters International,"3,265.00",109.20,53.00,0.00,"['Chain Lift Hill', 'Tunnel']",,,,,,,,,,,,
14,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2018,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2018,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
17,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2018,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,"4,150.30",183.80,71.50,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.80,2:00,4,83,,,,,,,,
18,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2018,Wood,Sit Down,Operating,5/6/1995,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","2,800.00",80.00,48.00,0.00,['Chain Lift Hill'],85.00,1:30,,,,,,,,,,
19,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2018,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,1920,2018,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
21,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2018,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
23,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2018,Wood,Sit Down,Operating,5/6/2000,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","4,042.00",99.00,59.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Tunnel', 'Tunnel', 'Tunnel', 'Helix', 'Double Down', 'Tunnel']",113.00,2:00,,,,,,,,,,
25,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2018,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
30,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2018,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
33,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2018,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
34,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2018,Wood,Bobsled,Operating,10/5/2013,Elysburg,Pennsylvania,United States,,"1,300.00",50.00,24.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",,,,,,,,,,,,
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel/NAD,1938,2018,Wood,Sit Down,Removed,7/4/1938,Conneaut Lake,Pennsylvania,United States,,"2,900.00",78.00,,0.00,"['Tunnel', 'Chain Lift Hill']",,2:20,,,,,,,,,,
38,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2008,2018,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,"2,713.00",82.00,48.00,0.00,['Chain Lift Hill'],80.00,,,,,,,,,,,
40,Grizzly,Kings Dominion,"Doswell, Va.",SummersKECO,1982,2018,Wood,Sit Down,Operating,3/27/1982,Doswell,Virginia,United States,,"3,150.00",87.00,,0.00,['Chain Lift Hill'],,2:30,,,,,,,,,,
41,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2018,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.","2,558.00",78.00,40.00,0.00,['Chain Lift Hill'],72.00,1:45,,45,,,,,,,,
43,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2018,Wood,Sit Down,Operating,4/29/2000,Eureka,Missouri,United States,"Custom Coasters International, Inc.","4,631.00",122.00,66.30,0.00,['Chain Lift Hill'],150.00,,,52,,,,,,,,
44,Wild One,Six Flags America,"Upper Marlboro, Md.",PTC/Miller/Dinn,1986,2018,Wood,Sit Down,Operating,1986,Upper Marlboro,Maryland,United States,"Philadelphia Toboggan Coasters, Inc.","4,000.00",98.00,53.00,0.00,['Chain Lift Hill'],88.00,1:52,,,,,,,,,,
45,T Express,Everland,"Yonjinsi, South Korea",Intamin,2008,2018,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,"5,383.80",183.80,64.60,0.00,['Cable Lift Hill'],150.90,,,77,,,,,,,,
49,Wooden Warrior,Quassy Amusement Park,"Meddlebury, Conn.",Gravity Group,2011,2018,Wood,Sit Down,Operating,4/23/2011,Middlebury,Connecticut,United States,,"1,239.00",32.00,35.00,0.00,"['Chain Lift Hill', 'Tunnel']",36.00,,,48.5,,,45,9,,51,,
50,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2018,Wood,Sit Down,Operating,7/24/1999,Elysburg,Pennsylvania,United States,,"3,900.00",101.60,51.50,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",89.60,2:10,,,,,,,,,,
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2009,2017,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",DinnPTC/Schmeck,1985,2017,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
3,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2017,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.","4,725.00",,60.00,0.00,,115.00,2:30,,,,,,,,,,
4,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2017,Wood,Sit Down,Operating,5/6/2006,Santa Claus,Indiana,United States,,"6,442.00",159.00,67.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill']",154.00,2:45,,66,,,,,,,,
5,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2017,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,"3,800.00",,73.00,0.00,['Chain Lift Hill'],165.00,,3.5,73,,,,,,,,
6,Beast,Kings Island,"Mason, Ohio",KECO,1979,2017,Wood,Sit Down,Operating,4/14/1979,Mason,Ohio,United States,,"7,361.00",110.00,64.80,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.00,4:10,,,,,,,,,,
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2017,Wood,Sit Down,Operating,5/17/2008,Erie,Pennsylvania,United States,,"2,900.00",80.00,57.00,0.00,['Chain Lift Hill'],118.00,1:30,,60,,,,,,,,
8,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2017,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2017,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2017,Wood,Sit Down,Operating,4/15/2017,Mason,Ohio,United States,Great Coasters International,"3,265.00",109.20,53.00,0.00,"['Chain Lift Hill', 'Tunnel']",,,,,,,,,,,,
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2017,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
14,Boardwalk Bullet,Kemah Boardwalk,Kemah Boardwalk,M&V/Gravity Group,2007,2017,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
16,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2017,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
17,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2017,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
18,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2017,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
18,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2017,Wood,Sit Down,Operating,13-May,Orlando,Florida,United States,Great Coasters International,"2,032.00",69.70,44.30,0.00,['Chain Lift Hill'],67.20,1:15,,,,,,,,,,
22,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2017,Wood,Sit Down,Operating,6/26/1927,Brooklyn,New York,United States,,"2,850.30",75.00,60.00,0.00,,,1:50,,58.6,,,,,,,,
