Rank,Name,Park,Location,Supplier,Year,Awarded
7,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000,2023
8,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2023
tie-9,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2023
tie-9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2023
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999,2023
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001,2023
13,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2023
14,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain Const.,2016,2023
tie-15,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2023
tie-15,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain Const.,2013,2023
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2023
18,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2023
19,Hagrid’s Magical Creatures Mmotorbike Adventure,Universal Islands of Adventure,"Orlando, Florida",Intamin,2019,2023
20,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2023
21,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2001,2023
22,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2023
23,Guardians of the Galaxy: Cosmic Rewind,EPCOT,"Lake Buena Vista, Florida",Vekoma,2022,2023
24,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2023
25,ArieForce One,Fun Spot America Atlanta,"Fayetteville, Georgia",Rocky Mountain Const.,2023,2023
26,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2023
27,Orion,Kings Island,"Mason, Ohio",B&M,2020,2023
28,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015,2023
29,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2023
30,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2023
31,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021,2023
32,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019,2023
33,Fønix,Fårup Sommerland,"Blokhus, Denmark",Vekoma,2022,2023
34,Montu,Busch Gardens Tampa Bay,"Tampa, Florida",B&M,1996,2023
35,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2023
36,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2023
37,Big Bear Mountain,Dollywood,"Pigeon Forge, Tennessee",Vekoma,2023,2023
38,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2023
39,Blue Fire Megacoaster,Europa-Park,"Rust, Germany",Mack,2009,2023
40,Wildcat’s Revenge,Hersheypark,"Hershey, Pennsylvania",Rocky Mountain Const.,2023,2023
tie-41,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2023
tie-41,Riddler Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2023
tie-43,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2023
tie-43,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018,2023
45,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2023
46,F.L.Y.,Phantasialand,"Brühl, Germany",Vekoma,2020,2023
47,Cheetah Hunt,Busch Gardens Tampa Bay,"Tampa, Florida",Intamin,2011,2023
48,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2023
49,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2023
50,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2023
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2021
